Identifier,Currency,Tenor,Yield
EUR_EURIBOR_6M,EUR,60Y,-0.0019
USD_FEDFUNDS_1D,USD,1D,-0.00571
USD_FEDFUNDS_1D,USD,1W,-0.00586
USD_FEDFUNDS_1D,USD,1M,-0.00643
USD_FEDFUNDS_1D,USD,2M,-0.00532
USD_FEDFUNDS_1D,USD,3M,-0.00456
USD_FEDFUNDS_1D,USD,6M,-0.00328
USD_FEDFUNDS_1D,USD,12M,-0.00234
USD_FEDFUNDS_1D,USD,18M,-0.00221
USD_FEDFUNDS_1D,USD,2Y,-0.001324
USD_FEDFUNDS_1D,USD,3Y,-0.00101
USD_FEDFUNDS_1D,USD,5Y,-0.0009102
USD_FEDFUNDS_1D,USD,7Y,-0.001324
USD_FEDFUNDS_1D,USD,10Y,-0.00165
USD_FEDFUNDS_1D,USD,12Y,-0.0018
USD_FEDFUNDS_1D,USD,15Y,-0.0019
USD_FEDFUNDS_1D,USD,20Y,-0.0019
USD_FEDFUNDS_1D,USD,25Y,-0.0019
USD_FEDFUNDS_1D,USD,30Y,-0.0019
USD_FEDFUNDS_1D,USD,40Y,-0.0019
USD_FEDFUNDS_1D,USD,50Y,-0.0019
USD_FEDFUNDS_1D,USD,60Y,-0.0019
USD_LIBOR_1M,USD,1D,-0.00571
USD_LIBOR_1M,USD,1W,-0.00586
USD_LIBOR_1M,USD,1M,-0.00643
USD_LIBOR_1M,USD,2M,-0.00532
USD_LIBOR_1M,USD,3M,-0.00456
USD_LIBOR_1M,USD,6M,-0.00328
USD_LIBOR_1M,USD,12M,-0.00234
USD_LIBOR_1M,USD,18M,-0.00221
USD_LIBOR_1M,USD,2Y,-0.001324
USD_LIBOR_1M,USD,3Y,-0.00101
USD_LIBOR_1M,USD,5Y,-0.0009102
USD_LIBOR_1M,USD,7Y,-0.001324
USD_LIBOR_1M,USD,10Y,-0.00165
USD_LIBOR_1M,USD,12Y,-0.0018
USD_LIBOR_1M,USD,15Y,-0.0019
USD_LIBOR_1M,USD,20Y,-0.0019
USD_LIBOR_1M,USD,25Y,-0.0019
USD_LIBOR_1M,USD,30Y,-0.0019
USD_LIBOR_1M,USD,40Y,-0.0019
USD_LIBOR_1M,USD,50Y,-0.0019
USD_LIBOR_1M,USD,60Y,-0.0019
USD_LIBOR_3M,USD,1D,-0.00571
USD_LIBOR_3M,USD,1W,-0.00586
USD_LIBOR_3M,USD,1M,-0.00643
USD_LIBOR_3M,USD,2M,-0.00532
USD_LIBOR_3M,USD,3M,-0.00456
USD_LIBOR_3M,USD,6M,-0.00328
USD_LIBOR_3M,USD,12M,-0.00234
USD_LIBOR_3M,USD,18M,-0.00221
USD_LIBOR_3M,USD,2Y,-0.001324
USD_LIBOR_3M,USD,3Y,-0.00101
USD_LIBOR_3M,USD,5Y,-0.0009102
USD_LIBOR_3M,USD,7Y,-0.001324
USD_LIBOR_3M,USD,10Y,-0.00165
USD_LIBOR_3M,USD,12Y,-0.0018
USD_LIBOR_3M,USD,15Y,-0.0019
USD_LIBOR_3M,USD,20Y,-0.0019
USD_LIBOR_3M,USD,25Y,-0.0019
USD_LIBOR_3M,USD,30Y,-0.0019
USD_LIBOR_3M,USD,40Y,-0.0019
USD_LIBOR_3M,USD,50Y,-0.0019
USD_LIBOR_3M,USD,60Y,-0.0019
USD_LIBOR_6M,USD,1D,-0.00571
USD_LIBOR_6M,USD,1W,-0.00586
USD_LIBOR_6M,USD,1M,-0.00643
USD_LIBOR_6M,USD,2M,-0.00532
USD_LIBOR_6M,USD,3M,-0.00456
USD_LIBOR_6M,USD,6M,-0.00328
USD_LIBOR_6M,USD,12M,-0.00234
USD_LIBOR_6M,USD,18M,-0.00221
USD_LIBOR_6M,USD,2Y,-0.001324
USD_LIBOR_6M,USD,3Y,-0.00101
USD_LIBOR_6M,USD,5Y,-0.0009102
USD_LIBOR_6M,USD,7Y,-0.001324
USD_LIBOR_6M,USD,10Y,-0.00165
USD_LIBOR_6M,USD,12Y,-0.0018
USD_LIBOR_6M,USD,15Y,-0.0019
USD_LIBOR_6M,USD,20Y,-0.0019
USD_LIBOR_6M,USD,25Y,-0.0019
USD_LIBOR_6M,USD,30Y,-0.0019
USD_LIBOR_6M,USD,40Y,-0.0019
USD_LIBOR_6M,USD,50Y,-0.0019
USD_LIBOR_6M,USD,60Y,-0.0019
GBP_SONIA_1D,GBP,1D,-0.00571
GBP_SONIA_1D,GBP,1W,-0.00586
GBP_SONIA_1D,GBP,1M,-0.00643
GBP_SONIA_1D,GBP,2M,-0.00532
GBP_SONIA_1D,GBP,3M,-0.00456
GBP_SONIA_1D,GBP,6M,-0.00328
GBP_SONIA_1D,GBP,12M,-0.00234
GBP_SONIA_1D,GBP,18M,-0.00221
GBP_SONIA_1D,GBP,2Y,-0.001324
GBP_SONIA_1D,GBP,3Y,-0.00101
GBP_SONIA_1D,GBP,5Y,-0.0009102
GBP_SONIA_1D,GBP,7Y,-0.001324
GBP_SONIA_1D,GBP,10Y,-0.00165
GBP_SONIA_1D,GBP,12Y,-0.0018
GBP_SONIA_1D,GBP,15Y,-0.0019
GBP_SONIA_1D,GBP,20Y,-0.0019
GBP_SONIA_1D,GBP,25Y,-0.0019
GBP_SONIA_1D,GBP,30Y,-0.0019
GBP_SONIA_1D,GBP,40Y,-0.0019
GBP_SONIA_1D,GBP,50Y,-0.0019
GBP_SONIA_1D,GBP,60Y,-0.0019
GBP_LIBOR_1M,GBP,1D,-0.00571
GBP_LIBOR_1M,GBP,1W,-0.00586
GBP_LIBOR_1M,GBP,1M,-0.00643
GBP_LIBOR_1M,GBP,2M,-0.00532
GBP_LIBOR_1M,GBP,3M,-0.00456
GBP_LIBOR_1M,GBP,6M,-0.00328
GBP_LIBOR_1M,GBP,12M,-0.00234
GBP_LIBOR_1M,GBP,18M,-0.00221
GBP_LIBOR_1M,GBP,2Y,-0.001324
GBP_LIBOR_1M,GBP,3Y,-0.00101
GBP_LIBOR_1M,GBP,5Y,-0.0009102
GBP_LIBOR_1M,GBP,7Y,-0.001324
GBP_LIBOR_1M,GBP,10Y,-0.00165
GBP_LIBOR_1M,GBP,12Y,-0.0018
GBP_LIBOR_1M,GBP,15Y,-0.0019
GBP_LIBOR_1M,GBP,20Y,-0.0019
GBP_LIBOR_1M,GBP,25Y,-0.0019
GBP_LIBOR_1M,GBP,30Y,-0.0019
GBP_LIBOR_1M,GBP,40Y,-0.0019
GBP_LIBOR_1M,GBP,50Y,-0.0019
GBP_LIBOR_1M,GBP,60Y,-0.0019
GBP_LIBOR_3M,GBP,1D,-0.00571
GBP_LIBOR_3M,GBP,1W,-0.00586
GBP_LIBOR_3M,GBP,1M,-0.00643
GBP_LIBOR_3M,GBP,2M,-0.00532
GBP_LIBOR_3M,GBP,3M,-0.00456
GBP_LIBOR_3M,GBP,6M,-0.00328
GBP_LIBOR_3M,GBP,12M,-0.00234
GBP_LIBOR_3M,GBP,18M,-0.00221
GBP_LIBOR_3M,GBP,2Y,-0.001324
GBP_LIBOR_3M,GBP,3Y,-0.00101
GBP_LIBOR_3M,GBP,5Y,-0.0009102
GBP_LIBOR_3M,GBP,7Y,-0.001324
GBP_LIBOR_3M,GBP,10Y,-0.00165
GBP_LIBOR_3M,GBP,12Y,-0.0018
GBP_LIBOR_3M,GBP,15Y,-0.0019
GBP_LIBOR_3M,GBP,20Y,-0.0019
GBP_LIBOR_3M,GBP,25Y,-0.0019
GBP_LIBOR_3M,GBP,30Y,-0.0019
GBP_LIBOR_3M,GBP,40Y,-0.0019
GBP_LIBOR_3M,GBP,50Y,-0.0019
GBP_LIBOR_3M,GBP,60Y,-0.0019
GBP_LIBOR_6M,GBP,1D,-0.00571
GBP_LIBOR_6M,GBP,1W,-0.00586
GBP_LIBOR_6M,GBP,1M,-0.00643
GBP_LIBOR_6M,GBP,2M,-0.00532
GBP_LIBOR_6M,GBP,3M,-0.00456
GBP_LIBOR_6M,GBP,6M,-0.00328
GBP_LIBOR_6M,GBP,12M,-0.00234
GBP_LIBOR_6M,GBP,18M,-0.00221
GBP_LIBOR_6M,GBP,2Y,-0.001324
GBP_LIBOR_6M,GBP,3Y,-0.00101
GBP_LIBOR_6M,GBP,5Y,-0.0009102
GBP_LIBOR_6M,GBP,7Y,-0.001324
GBP_LIBOR_6M,GBP,10Y,-0.00165
GBP_LIBOR_6M,GBP,12Y,-0.0018
GBP_LIBOR_6M,GBP,15Y,-0.0019
GBP_LIBOR_6M,GBP,20Y,-0.0019
GBP_LIBOR_6M,GBP,25Y,-0.0019
GBP_LIBOR_6M,GBP,30Y,-0.0019
GBP_LIBOR_6M,GBP,40Y,-0.0019
GBP_LIBOR_6M,GBP,50Y,-0.0019
GBP_LIBOR_6M,GBP,60Y,-0.0019
